iso3,scheme_code,scheme_label,axis_code,axis_label,score,is_composite,rank
GBR,literature,Literature-elicited,governance_orientation,Governance Orientation,1.2556502464850077,0,
KOR,literature,Literature-elicited,governance_orientation,Governance Orientation,0.603511106035945,0,
FRA,literature,Literature-elicited,governance_orientation,Governance Orientation,0.6475521292381873,0,
EUU,literature,Literature-elicited,governance_orientation,Governance Orientation,-0.02335519925903709,0,
JPN,literature,Literature-elicited,governance_orientation,Governance Orientation,0.4212222858221516,0,
SGP,literature,Literature-elicited,governance_orientation,Governance Orientation,0.13562763006409978,0,
CAN,literature,Literature-elicited,governance_orientation,Governance Orientation,-0.20644150784447768,0,
DEU,literature,Literature-elicited,governance_orientation,Governance Orientation,-0.11095800757778464,0,
SWE,literature,Literature-elicited,governance_orientation,Governance Orientation,0.12593618456870181,0,
ARE,literature,Literature-elicited,governance_orientation,Governance Orientation,-0.4619264407582569,0,
SAU,literature,Literature-elicited,governance_orientation,Governance Orientation,-0.48477534715253806,0,
ISR,literature,Literature-elicited,governance_orientation,Governance Orientation,-0.9025975207559249,0,
IND,literature,Literature-elicited,governance_orientation,Governance Orientation,-0.42852005547274796,0,
TWN,literature,Literature-elicited,governance_orientation,Governance Orientation,-0.5709255033933506,0,
GBR,literature,Literature-elicited,infrastructure_posture,Infrastructure Posture,0.406248494577606,0,
KOR,literature,Literature-elicited,infrastructure_posture,Infrastructure Posture,0.48527365566468905,0,
FRA,literature,Literature-elicited,infrastructure_posture,Infrastructure Posture,0.012375655410633471,0,
EUU,literature,Literature-elicited,infrastructure_posture,Infrastructure Posture,0.03324397485752001,0,
JPN,literature,Literature-elicited,infrastructure_posture,Infrastructure Posture,0.22661072226487583,0,
SGP,literature,Literature-elicited,infrastructure_posture,Infrastructure Posture,0.9964970335241697,0,
CAN,literature,Literature-elicited,infrastructure_posture,Infrastructure Posture,-0.2789050567209,0,
DEU,literature,Literature-elicited,infrastructure_posture,Infrastructure Posture,-0.09074609377733604,0,
SWE,literature,Literature-elicited,infrastructure_posture,Infrastructure Posture,0.6097345566342915,0,
ARE,literature,Literature-elicited,infrastructure_posture,Infrastructure Posture,0.3130475418911902,0,
SAU,literature,Literature-elicited,infrastructure_posture,Infrastructure Posture,-0.10551705218082068,0,
ISR,literature,Literature-elicited,infrastructure_posture,Infrastructure Posture,-0.44692949386721625,0,
IND,literature,Literature-elicited,infrastructure_posture,Infrastructure Posture,-2.1609339382786983,0,
TWN,literature,Literature-elicited,infrastructure_posture,Infrastructure Posture,3.5954145643630075e-16,0,
GBR,literature,Literature-elicited,composite,Composite,2.3143608395314526,1,1
KOR,literature,Literature-elicited,composite,Composite,2.184873830412773,1,2
FRA,literature,Literature-elicited,composite,Composite,1.9796651054149454,1,3
EUU,literature,Literature-elicited,composite,Composite,1.8240788593106783,1,4
JPN,literature,Literature-elicited,composite,Composite,1.8231399307020537,1,5
SGP,literature,Literature-elicited,composite,Composite,1.8085911804675614,1,6
CAN,literature,Literature-elicited,composite,Composite,1.472191665515941,1,7
DEU,literature,Literature-elicited,composite,Composite,1.4344437477253476,1,8
SWE,literature,Literature-elicited,composite,Composite,1.157211322025289,1,9
ARE,literature,Literature-elicited,composite,Composite,1.0200186303424326,1,10
SAU,literature,Literature-elicited,composite,Composite,0.9216083538466282,1,11
ISR,literature,Literature-elicited,composite,Composite,0.14379974850775396,1,12
IND,literature,Literature-elicited,composite,Composite,0.10597671637092321,1,13
TWN,literature,Literature-elicited,composite,Composite,0.05715544458885167,1,14
